epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,276.144,1.4964,0.70157,0.96335,0.80379,0.000233825,0.000233825,0.000233825
2,560.107,0.82464,0.82723,0.98429,0.53772,0.000238271,0.000238271,0.000238271
