epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,22208.7,0.64174,0.88653,0.65518,0.90939,0.85076,0.93058,0.92124,0.7604,0.84462,0.91874,0.90509,0.71627,0.61755,0.82005,0.61867,0.90507,0.000193836,0.000193836,0.000193836
30,22954.6,0.64981,0.88466,0.65372,0.90719,0.88451,0.91455,0.93893,0.77783,0.87086,0.90214,0.92252,0.73791,0.60562,0.81594,0.60922,0.90152,0.000185223,0.000185223,0.000185223
31,23693.5,0.63919,0.87077,0.64459,0.905,0.86512,0.92842,0.9373,0.77687,0.85565,0.92619,0.92784,0.73449,0.60534,0.81462,0.60577,0.90071,0.00017661,0.00017661,0.00017661
32,24440.6,0.63256,0.86874,0.63926,0.90439,0.87019,0.92255,0.93749,0.77979,0.86483,0.90845,0.92532,0.73321,0.59713,0.81809,0.60448,0.89797,0.000167997,0.000167997,0.000167997
33,25277.6,0.62899,0.86355,0.62977,0.90078,0.84748,0.94636,0.93371,0.77426,0.84554,0.93852,0.92523,0.73673,0.592,0.79949,0.60064,0.89882,0.000159384,0.000159384,0.000159384
34,26152.1,0.62154,0.84121,0.62298,0.89662,0.87212,0.91123,0.93335,0.77157,0.86457,0.9039,0.91872,0.72483,0.59803,0.79824,0.60081,0.89948,0.000150771,0.000150771,0.000150771
35,27216.5,0.61827,0.83849,0.62684,0.90194,0.87699,0.9241,0.93484,0.77261,0.86679,0.91346,0.91817,0.72372,0.59805,0.79782,0.58941,0.90331,0.000142158,0.000142158,0.000142158
36,28707.7,0.60691,0.828,0.61404,0.90121,0.86021,0.93717,0.93658,0.78315,0.85414,0.93053,0.92588,0.74058,0.58851,0.79779,0.58081,0.89658,0.000133545,0.000133545,0.000133545
37,29683.7,0.61354,0.85687,0.61392,0.89981,0.8758,0.93078,0.94148,0.78602,0.86706,0.92396,0.92946,0.73894,0.59244,0.80961,0.57487,0.89829,0.000124932,0.000124932,0.000124932
38,30760.6,0.6175,0.83945,0.60826,0.89733,0.85631,0.94298,0.93542,0.78842,0.85358,0.92611,0.9238,0.73791,0.58298,0.78812,0.57633,0.8939,0.000116319,0.000116319,0.000116319
39,31921.5,0.6041,0.82567,0.59958,0.89758,0.87807,0.92743,0.9418,0.7883,0.86658,0.93048,0.93288,0.74514,0.58116,0.78485,0.56793,0.89551,0.000107706,0.000107706,0.000107706
40,33160.2,0.6015,0.81155,0.59648,0.89737,0.8688,0.93561,0.94345,0.78817,0.86137,0.93047,0.93223,0.7487,0.5862,0.78159,0.57418,0.89431,9.9093e-05,9.9093e-05,9.9093e-05
41,34293.2,0.58624,0.73433,0.62815,0.88445,0.87487,0.93236,0.94001,0.7816,0.87165,0.92677,0.92999,0.7402,0.59044,0.82125,0.59069,0.89605,9.048e-05,9.048e-05,9.048e-05
42,35441.7,0.5675,0.7073,0.59549,0.8831,0.87629,0.93714,0.94205,0.78835,0.87274,0.92571,0.92978,0.74197,0.58041,0.81101,0.56877,0.89433,8.1867e-05,8.1867e-05,8.1867e-05
43,36395.7,0.55589,0.69823,0.57812,0.88017,0.86911,0.93371,0.93352,0.78537,0.871,0.91705,0.9219,0.73543,0.57483,0.79511,0.57026,0.89029,7.3254e-05,7.3254e-05,7.3254e-05
44,37711,0.55102,0.69381,0.56699,0.87696,0.87577,0.93392,0.93886,0.78585,0.86609,0.92982,0.92408,0.73737,0.57727,0.79446,0.56492,0.89138,6.4641e-05,6.4641e-05,6.4641e-05
45,38998.7,0.54022,0.68234,0.55652,0.87147,0.87702,0.93141,0.93908,0.78943,0.87483,0.91742,0.92829,0.74155,0.57606,0.81011,0.55382,0.89101,5.6028e-05,5.6028e-05,5.6028e-05
46,40105.8,0.54244,0.6798,0.55655,0.87134,0.87944,0.93718,0.93955,0.79108,0.88184,0.91499,0.92526,0.73808,0.57336,0.79007,0.55253,0.8877,4.7415e-05,4.7415e-05,4.7415e-05
47,41292.7,0.5331,0.67202,0.54524,0.86958,0.87811,0.93812,0.94338,0.79455,0.89231,0.90734,0.93154,0.74586,0.56552,0.78917,0.54663,0.8864,3.8802e-05,3.8802e-05,3.8802e-05
48,42519.3,0.53163,0.67652,0.54379,0.86812,0.8887,0.93166,0.94051,0.79305,0.88067,0.92356,0.92947,0.74114,0.56785,0.79184,0.54583,0.8874,3.0189e-05,3.0189e-05,3.0189e-05
